Sub,Cond,Item,TotalTime,FFD,CondA,CondB
Sub_001,1,1,232,232,A1,B1
Sub_001,1,5,580,190,A1,B1
Sub_001,1,9,559,180,A1,B1
Sub_001,1,13,547,219,A1,B1
Sub_001,1,17,434,434,A1,B1
Sub_001,1,21,664,226,A1,B1
Sub_001,1,25,1882,205,A1,B1
Sub_001,1,29,1142,316,A1,B1
Sub_001,1,33,1437,267,A1,B1
Sub_001,1,37,427,221,A1,B1
Sub_001,1,41,307,183,A1,B1
Sub_001,1,45,1447,528,A1,B1
Sub_001,1,49,2303,189,A1,B1
Sub_001,1,53,965,646,A1,B1
Sub_001,1,57,429,258,A1,B1
Sub_001,1,61,1225,333,A1,B1
Sub_001,2,2,407,199,A2,B1
Sub_001,2,6,278,278,A2,B1
Sub_001,2,10,776,185,A2,B1
Sub_001,2,14,1313,180,A2,B1
Sub_001,2,18,982,247,A2,B1
Sub_001,2,22,1021,273,A2,B1
Sub_001,2,26,1895,185,A2,B1
Sub_001,2,30,1832,203,A2,B1
Sub_001,2,34,938,668,A2,B1
Sub_001,2,38,919,197,A2,B1
Sub_001,2,42,1268,248,A2,B1
Sub_001,2,46,977,271,A2,B1
Sub_001,2,50,1147,351,A2,B1
Sub_001,2,54,1669,260,A2,B1
Sub_001,2,58,2070,446,A2,B1
Sub_001,2,62,693,318,A2,B1
Sub_001,3,3,1139,329,A1,B2
Sub_001,3,7,640,207,A1,B2
Sub_001,3,11,1099,178,A1,B2
Sub_001,3,15,618,208,A1,B2
Sub_001,3,19,1003,193,A1,B2
Sub_001,3,27,1562,316,A1,B2
Sub_001,3,31,2167,208,A1,B2
Sub_001,3,35,738,453,A1,B2
Sub_001,3,39,781,273,A1,B2
Sub_001,3,43,1659,324,A1,B2
Sub_001,3,47,1168,322,A1,B2
Sub_001,3,51,984,201,A1,B2
Sub_001,3,55,1959,206,A1,B2
Sub_001,3,59,364,185,A1,B2
Sub_001,3,63,643,373,A1,B2
Sub_001,4,4,405,211,A2,B2
Sub_001,4,8,473,202,A2,B2
Sub_001,4,12,2708,639,A2,B2
Sub_001,4,16,2574,160,A2,B2
Sub_001,4,20,1553,268,A2,B2
Sub_001,4,24,779,314,A2,B2
Sub_001,4,28,431,246,A2,B2
Sub_001,4,32,1503,480,A2,B2
Sub_001,4,36,2385,159,A2,B2
Sub_001,4,40,1275,323,A2,B2
Sub_001,4,44,855,336,A2,B2
Sub_001,4,48,532,94,A2,B2
Sub_001,4,52,1743,304,A2,B2
Sub_001,4,56,596,207,A2,B2
Sub_001,4,60,1213,221,A2,B2
Sub_001,4,64,628,267,A2,B2
Sub_002,1,4,669,221,A1,B1
Sub_002,1,8,354,215,A1,B1
Sub_002,1,12,107,107,A1,B1
Sub_002,1,16,421,198,A1,B1
Sub_002,1,20,397,204,A1,B1
Sub_002,1,24,612,178,A1,B1
Sub_002,1,28,542,181,A1,B1
Sub_002,1,32,719,211,A1,B1
Sub_002,1,36,385,204,A1,B1
Sub_002,1,40,3362,306,A1,B1
Sub_002,1,44,284,159,A1,B1
Sub_002,1,48,776,393,A1,B1
Sub_002,1,52,255,255,A1,B1
Sub_002,1,56,1056,241,A1,B1
Sub_002,1,60,820,255,A1,B1
Sub_002,1,64,369,139,A1,B1
Sub_002,2,1,366,366,A2,B1
Sub_002,2,5,470,260,A2,B1
Sub_002,2,9,3753,238,A2,B1
Sub_002,2,13,400,192,A2,B1
Sub_002,2,17,1060,327,A2,B1
Sub_002,2,21,1113,159,A2,B1
Sub_002,2,25,373,373,A2,B1
Sub_002,2,29,2293,269,A2,B1
Sub_002,2,33,387,387,A2,B1
Sub_002,2,37,489,211,A2,B1
Sub_002,2,41,1007,93,A2,B1
Sub_002,2,45,700,268,A2,B1
Sub_002,2,49,262,177,A2,B1
Sub_002,2,53,1053,290,A2,B1
Sub_002,2,57,592,480,A2,B1
Sub_002,2,61,789,327,A2,B1
Sub_002,3,2,1533,124,A1,B2
Sub_002,3,6,2568,227,A1,B2
Sub_002,3,10,595,239,A1,B2
Sub_002,3,14,215,122,A1,B2
Sub_002,3,18,1352,132,A1,B2
Sub_002,3,22,1450,263,A1,B2
Sub_002,3,26,426,339,A1,B2
Sub_002,3,30,515,128,A1,B2
Sub_002,3,34,606,295,A1,B2
Sub_002,3,38,455,261,A1,B2
Sub_002,3,42,490,237,A1,B2
Sub_002,3,46,559,370,A1,B2
Sub_002,3,50,1288,390,A1,B2
Sub_002,3,54,807,247,A1,B2
Sub_002,3,58,1184,382,A1,B2
Sub_002,3,62,431,228,A1,B2
Sub_002,4,3,3276,213,A2,B2
Sub_002,4,7,1221,177,A2,B2
Sub_002,4,11,2335,176,A2,B2
Sub_002,4,15,741,225,A2,B2
Sub_002,4,19,3560,499,A2,B2
Sub_002,4,23,798,189,A2,B2
Sub_002,4,27,593,173,A2,B2
Sub_002,4,31,666,166,A2,B2
Sub_002,4,35,240,240,A2,B2
Sub_002,4,39,5748,344,A2,B2
Sub_002,4,43,2379,593,A2,B2
Sub_002,4,47,560,252,A2,B2
Sub_002,4,51,1859,309,A2,B2
Sub_002,4,55,1834,520,A2,B2
Sub_002,4,59,1811,229,A2,B2
Sub_002,4,63,2740,180,A2,B2
Sub_003,1,3,295,295,A1,B1
Sub_003,1,7,329,329,A1,B1
Sub_003,1,11,221,221,A1,B1
Sub_003,1,19,965,267,A1,B1
Sub_003,1,27,581,227,A1,B1
Sub_003,1,39,187,187,A1,B1
Sub_003,1,43,438,438,A1,B1
Sub_003,1,47,406,184,A1,B1
Sub_003,1,51,418,418,A1,B1
Sub_003,1,55,977,353,A1,B1
Sub_003,1,63,684,442,A1,B1
Sub_003,2,8,212,212,A2,B1
Sub_003,2,16,1588,396,A2,B1
Sub_003,2,20,504,504,A2,B1
Sub_003,2,24,227,227,A2,B1
Sub_003,2,28,190,190,A2,B1
Sub_003,2,32,656,379,A2,B1
Sub_003,2,36,628,189,A2,B1
Sub_003,2,40,546,314,A2,B1
Sub_003,2,44,666,479,A2,B1
Sub_003,2,48,336,336,A2,B1
Sub_003,2,52,236,236,A2,B1
Sub_003,2,56,503,308,A2,B1
Sub_003,2,60,590,250,A2,B1
Sub_003,2,64,169,169,A2,B1
Sub_003,3,1,525,250,A1,B2
Sub_003,3,5,985,210,A1,B2
Sub_003,3,9,577,403,A1,B2
Sub_003,3,13,610,237,A1,B2
Sub_003,3,17,647,410,A1,B2
Sub_003,3,21,190,190,A1,B2
Sub_003,3,25,270,270,A1,B2
Sub_003,3,29,491,377,A1,B2
Sub_003,3,37,675,372,A1,B2
Sub_003,3,41,208,208,A1,B2
Sub_003,3,45,287,287,A1,B2
Sub_003,3,49,1620,248,A1,B2
Sub_003,3,53,263,263,A1,B2
Sub_003,3,57,337,337,A1,B2
Sub_003,3,61,1062,196,A1,B2
Sub_003,4,2,342,342,A2,B2
Sub_003,4,6,146,146,A2,B2
Sub_003,4,10,396,222,A2,B2
Sub_003,4,14,1312,168,A2,B2
Sub_003,4,18,806,215,A2,B2
Sub_003,4,22,1588,315,A2,B2
Sub_003,4,26,539,539,A2,B2
Sub_003,4,30,369,168,A2,B2
Sub_003,4,34,1134,218,A2,B2
Sub_003,4,38,1080,381,A2,B2
Sub_003,4,42,616,213,A2,B2
Sub_003,4,46,798,248,A2,B2
Sub_003,4,50,1257,221,A2,B2
Sub_003,4,54,451,270,A2,B2
Sub_003,4,58,621,621,A2,B2
Sub_003,4,62,1820,404,A2,B2
