subj,cond,DV
S1,C1,232
S1,C1,190
S1,C1,180
S1,C1,219
S1,C1,434
S1,C1,226
S1,C1,205
S1,C1,316
S1,C1,267
S1,C1,221
S1,C1,183
S1,C1,528
S1,C1,189
S1,C1,646
S1,C1,258
S1,C1,333
S10,C1,218
S10,C1,307
S10,C1,282
S10,C1,321
S10,C1,292
S10,C1,204
S10,C1,211
S10,C1,188
S10,C1,296
S10,C1,279
S10,C1,216
S10,C1,249
S1,C3,329
S1,C3,207
S1,C3,178
S1,C3,208
S1,C3,193
S1,C3,316
S1,C3,208
S1,C3,453
S1,C3,273
S1,C3,324
S1,C3,322
S1,C3,201
S1,C3,206
S1,C3,185
S1,C3,373
S10,C3,208
S10,C3,196
S10,C3,482
S10,C3,141
S10,C3,224
S10,C3,216
S10,C3,188
S10,C3,236
S10,C3,230
S10,C3,195
S10,C3,399
S10,C3,199
