subj,item,bin,variable,fix
1,27,1,target,1
1,27,2,target,1
1,27,3,target,1
1,27,4,target,1
1,27,5,target,1
1,27,6,target,1
1,27,7,target,1
1,27,8,target,1
1,27,9,target,1
1,27,10,target,1
1,27,11,target,0
1,27,12,target,0
1,27,13,target,0
1,27,14,target,0
1,27,15,target,0
1,27,16,target,0
1,27,17,target,0
1,27,18,target,0
1,27,19,target,0
1,27,20,target,0
1,27,21,target,0
1,27,22,target,0
1,28,1,target,0
1,28,2,target,0
1,28,3,target,0
1,28,4,target,0
1,28,5,target,0
1,28,6,target,0
1,28,7,target,0
1,28,8,target,1
1,28,9,target,1
1,28,10,target,1
1,28,11,target,0
1,28,12,target,0
1,28,13,target,0
1,28,14,target,0
1,28,15,target,0
1,28,16,target,0
1,28,17,target,0
1,28,18,target,0
1,28,19,target,0
1,28,20,target,0
1,28,21,target,1
1,28,22,target,1
1,29,1,target,0
1,29,2,target,0
1,29,3,target,0
1,29,4,target,0
1,29,5,target,0
1,29,6,target,0
1,29,7,target,0
1,29,8,target,1
1,29,9,target,1
1,29,10,target,1
1,29,11,target,1
1,29,12,target,1
1,29,13,target,1
1,29,14,target,1
1,29,15,target,1
1,29,16,target,1
1,29,17,target,1
1,29,18,target,1
1,29,19,target,1
1,29,20,target,0
1,29,21,target,0
1,29,22,target,1
1,30,1,target,0
1,30,2,target,0
1,30,3,target,0
1,30,4,target,0
1,30,5,target,0
1,30,6,target,0
1,30,7,target,0
1,30,8,target,0
1,30,9,target,1
1,30,10,target,1
1,30,11,target,1
1,30,12,target,1
1,30,13,target,1
1,30,14,target,0
1,30,15,target,0
1,30,16,target,0
1,30,17,target,0
1,30,18,target,0
1,30,19,target,0
1,30,20,target,0
1,30,21,target,0
1,30,22,target,0
1,31,1,target,0
1,31,2,target,0
1,31,3,target,0
1,31,4,target,0
1,31,5,target,0
1,31,6,target,0
1,31,7,target,0
1,31,8,target,0
1,31,9,target,0
1,31,10,target,0
1,31,11,target,0
1,31,12,target,0
1,31,13,target,0
1,31,14,target,0
1,31,15,target,0
1,31,16,target,0
1,31,17,target,0
1,31,18,target,1
1,31,19,target,1
1,31,20,target,1
1,31,21,target,1
1,31,22,target,1
1,32,1,target,1
1,32,2,target,1
1,32,3,target,1
1,32,4,target,1
1,32,5,target,1
1,32,6,target,0
1,32,7,target,0
1,32,8,target,0
1,32,9,target,0
1,32,10,target,0
1,32,11,target,0
1,32,12,target,0
1,32,13,target,0
1,32,14,target,0
1,32,15,target,0
1,32,16,target,0
1,32,17,target,0
1,32,18,target,0
1,32,19,target,0
1,32,20,target,0
1,32,21,target,0
1,32,22,target,0
1,33,1,target,0
1,33,2,target,0
1,33,3,target,0
1,33,4,target,0
1,33,5,target,0
1,33,6,target,0
1,33,7,target,0
1,33,8,target,0
1,33,9,target,1
1,33,10,target,1
1,33,11,target,1
1,33,12,target,1
1,33,13,target,1
1,33,14,target,1
1,33,15,target,1
1,33,16,target,1
1,33,17,target,1
1,33,18,target,1
1,33,19,target,1
1,33,20,target,1
1,33,21,target,1
1,33,22,target,1
1,34,1,target,0
1,34,2,target,0
1,34,3,target,0
1,34,4,target,0
1,34,5,target,0
1,34,6,target,1
1,34,7,target,1
1,34,8,target,1
1,34,9,target,1
1,34,10,target,0
1,34,11,target,0
1,34,12,target,0
1,34,13,target,0
1,34,14,target,0
1,34,15,target,0
1,34,16,target,0
1,34,17,target,0
1,34,18,target,0
1,34,19,target,0
1,34,20,target,0
1,34,21,target,0
1,34,22,target,0
1,35,1,target,0
1,35,2,target,0
1,35,3,target,0
1,35,4,target,0
1,35,5,target,0
1,35,6,target,0
1,35,7,target,0
1,35,8,target,0
1,35,9,target,1
1,35,10,target,1
1,35,11,target,1
1,35,12,target,1
1,35,13,target,1
1,35,14,target,1
1,35,15,target,1
1,35,16,target,1
1,35,17,target,1
1,35,18,target,1
1,35,19,target,1
1,35,20,target,1
1,35,21,target,1
1,35,22,target,1
1,36,1,target,1
1,36,2,target,1
1,36,3,target,1
1,36,4,target,1
1,36,5,target,1
1,36,6,target,1
1,36,7,target,1
1,36,8,target,1
1,36,9,target,1
1,36,10,target,0
1,36,11,target,0
1,36,12,target,0
1,36,13,target,0
1,36,14,target,0
1,36,15,target,0
1,36,16,target,0
1,36,17,target,0
1,36,18,target,0
1,36,19,target,0
1,36,20,target,0
1,36,21,target,0
1,36,22,target,0
