subj,item,type,DV,CondA,CondB
S1,I1,HL,226,A1,B1
S1,I5,HL,222,A1,B1
S1,I9,HL,234,A1,B1
S1,I13,HL,265,A1,B1
S1,I17,HL,261,A1,B1
S1,I21,HL,312,A1,B1
S1,I25,HL,232,A1,B1
S1,I29,HL,264,A1,B1
S1,I33,LH,238,A1,B1
S1,I37,LH,251,A1,B1
S1,I45,LH,249,A1,B1
S1,I49,LH,370,A1,B1
S1,I53,LH,293,A1,B1
S1,I57,LH,193,A1,B1
S1,I61,LH,366,A1,B1
S1,I2,HL,219,A2,B1
S1,I6,HL,200,A2,B1
S1,I10,HL,214,A2,B1
S1,I14,HL,276,A2,B1
S1,I18,HL,670,A2,B1
S1,I22,HL,219,A2,B1
S1,I26,HL,341,A2,B1
S1,I30,HL,262,A2,B1
S1,I34,LH,366,A2,B1
S1,I38,LH,550,A2,B1
S1,I42,LH,277,A2,B1
S1,I46,LH,275,A2,B1
S1,I50,LH,259,A2,B1
S1,I54,LH,297,A2,B1
S1,I58,LH,469,A2,B1
S1,I62,LH,438,A2,B1
S1,I3,HL,419,A1,B2
S1,I7,HL,340,A1,B2
S1,I11,HL,227,A1,B2
S1,I15,HL,307,A1,B2
S1,I19,HL,372,A1,B2
S1,I23,HL,335,A1,B2
S1,I27,HL,253,A1,B2
S1,I31,HL,194,A1,B2
S1,I35,LH,236,A1,B2
S1,I39,LH,216,A1,B2
S1,I43,LH,212,A1,B2
S1,I47,LH,299,A1,B2
S1,I51,LH,260,A1,B2
S1,I55,LH,205,A1,B2
S1,I59,LH,273,A1,B2
S1,I63,LH,230,A1,B2
S1,I4,HL,753,A2,B2
S1,I8,HL,412,A2,B2
S1,I12,HL,189,A2,B2
S1,I16,HL,204,A2,B2
S1,I20,HL,215,A2,B2
S1,I24,HL,428,A2,B2
S1,I28,HL,383,A2,B2
S1,I32,HL,201,A2,B2
S1,I40,LH,209,A2,B2
S1,I44,LH,203,A2,B2
S1,I48,LH,436,A2,B2
S1,I52,LH,318,A2,B2
S1,I56,LH,384,A2,B2
S1,I60,LH,312,A2,B2
S1,I64,LH,277,A2,B2
S10,I4,HL,209,A1,B1
S10,I12,HL,315,A1,B1
S10,I16,HL,248,A1,B1
S10,I20,HL,248,A1,B1
S10,I24,HL,242,A1,B1
S10,I32,HL,176,A1,B1
S10,I36,LH,271,A1,B1
S10,I40,LH,294,A1,B1
S10,I48,LH,246,A1,B1
S10,I52,LH,234,A1,B1
S10,I56,LH,202,A1,B1
S10,I60,LH,254,A1,B1
S10,I64,LH,298,A1,B1
S10,I1,HL,189,A2,B1
S10,I5,HL,205,A2,B1
S10,I9,HL,315,A2,B1
S10,I13,HL,164,A2,B1
S10,I17,HL,412,A2,B1
S10,I25,HL,165,A2,B1
S10,I33,LH,183,A2,B1
S10,I37,LH,168,A2,B1
S10,I41,LH,163,A2,B1
S10,I45,LH,257,A2,B1
S10,I53,LH,212,A2,B1
S10,I57,LH,151,A2,B1
S10,I61,LH,211,A2,B1
S10,I2,HL,142,A1,B2
S10,I6,HL,272,A1,B2
S10,I10,HL,162,A1,B2
S10,I14,HL,341,A1,B2
S10,I18,HL,407,A1,B2
S10,I22,HL,250,A1,B2
S10,I26,HL,264,A1,B2
S10,I30,HL,355,A1,B2
S10,I34,LH,162,A1,B2
S10,I38,LH,200,A1,B2
S10,I42,LH,255,A1,B2
S10,I46,LH,149,A1,B2
S10,I54,LH,505,A1,B2
S10,I62,LH,167,A1,B2
S10,I3,HL,157,A2,B2
S10,I7,HL,266,A2,B2
S10,I15,HL,235,A2,B2
S10,I19,HL,202,A2,B2
S10,I23,HL,174,A2,B2
S10,I31,HL,292,A2,B2
S10,I39,LH,257,A2,B2
S10,I43,LH,327,A2,B2
S10,I47,LH,148,A2,B2
S10,I51,LH,372,A2,B2
S10,I55,LH,181,A2,B2
S10,I63,LH,155,A2,B2
S11,I3,HL,197,A1,B1
S11,I7,HL,225,A1,B1
S11,I11,HL,182,A1,B1
