subj,item,DV,CondA,CondB
1,1,3,A1,B1
1,2,3,A2,B1
1,3,4,A1,B1
1,4,2,A2,B1
1,5,0,A1,B1
1,6,2,A2,B1
1,7,2,A1,B1
1,8,2,A2,B1
1,10,2,A2,B1
1,11,3,A1,B1
1,12,2,A2,B1
1,13,2,A1,B1
1,14,1,A2,B1
1,15,0,A1,B1
1,16,2,A2,B1
1,17,1,A1,B1
1,18,4,A2,B1
1,20,1,A2,B1
1,21,1,A1,B1
1,22,1,A2,B1
1,24,3,A2,B1
1,25,0,A1,B1
1,28,1,A2,B1
1,29,10,A1,B1
1,30,2,A2,B1
1,31,3,A1,B1
1,32,1,A2,B1
1,33,4,A1,B1
1,34,2,A2,B1
1,35,1,A1,B1
1,36,2,A2,B1
1,37,3,A1,B1
1,38,2,A2,B1
1,39,2,A1,B1
1,40,1,A2,B1
1,41,2,A1,B1
1,42,1,A2,B1
1,43,3,A1,B1
1,44,1,A2,B1
1,45,2,A1,B1
1,46,2,A2,B1
1,47,2,A1,B1
1,48,2,A2,B1
1,49,3,A1,B1
1,50,2,A2,B1
1,51,3,A1,B1
1,52,4,A2,B1
1,53,2,A1,B1
1,54,1,A2,B1
1,55,3,A1,B1
1,57,4,A1,B1
1,58,2,A2,B1
1,59,3,A1,B1
1,60,1,A2,B1
1,61,2,A1,B1
1,62,3,A2,B1
1,63,4,A1,B1
1,64,2,A2,B1
1,65,3,A1,B1
1,66,1,A2,B1
1,67,3,A1,B1
1,68,2,A2,B1
1,69,2,A1,B1
1,70,2,A2,B1
1,71,3,A1,B1
1,73,3,A1,B1
1,74,2,A2,B1
1,75,4,A1,B1
1,76,1,A2,B1
1,77,1,A1,B1
1,78,3,A2,B1
1,79,3,A1,B1
1,80,2,A2,B1
2,1,2,A1,B1
2,2,3,A2,B1
2,3,7,A1,B1
2,4,2,A2,B1
2,5,2,A1,B1
2,6,2,A2,B1
2,7,3,A1,B1
2,8,2,A2,B1
2,9,5,A1,B1
2,10,0,A2,B1
2,11,5,A1,B1
2,12,5,A2,B1
2,13,1,A1,B1
2,14,2,A2,B1
2,15,4,A1,B1
2,16,4,A2,B1
2,17,1,A1,B1
2,18,5,A2,B1
2,19,1,A1,B1
2,20,2,A2,B1
2,21,1,A1,B1
2,22,1,A2,B1
2,23,2,A1,B1
2,25,2,A1,B1
2,26,2,A2,B1
2,27,1,A1,B1
2,28,2,A2,B1
2,29,3,A1,B1
2,30,3,A2,B1
2,31,4,A1,B1
2,32,4,A2,B1
2,33,4,A1,B1
2,34,3,A2,B1
2,36,4,A2,B1
2,37,3,A1,B1
2,38,5,A2,B1
2,39,2,A1,B1
2,40,3,A2,B1
2,41,3,A1,B1
2,42,2,A2,B1
2,43,4,A1,B1
2,44,2,A2,B1
2,45,4,A1,B1
2,46,2,A2,B1
2,48,5,A2,B1
2,49,6,A1,B1
2,50,3,A2,B1
2,51,3,A1,B1
2,52,3,A2,B1
2,53,5,A1,B1
2,55,1,A1,B1
2,56,3,A2,B1
2,57,2,A1,B1
2,58,3,A2,B1
2,59,5,A1,B1
2,60,4,A2,B1
2,61,2,A1,B1
2,62,5,A2,B1
2,64,3,A2,B1
2,65,3,A1,B1
2,66,3,A2,B1
2,67,4,A1,B1
2,68,2,A2,B1
2,69,3,A1,B1
2,70,4,A2,B1
2,71,2,A1,B1
2,72,2,A2,B1
2,73,3,A1,B1
2,74,3,A2,B1
2,75,3,A1,B1
2,76,1,A2,B1
2,77,0,A1,B1
2,78,5,A2,B1
2,79,3,A1,B1
2,80,4,A2,B1
3,1,2,A2,B1
3,2,5,A1,B1
3,3,5,A2,B1
3,4,2,A1,B1
3,5,2,A2,B1
3,6,5,A1,B1
3,7,2,A2,B1
3,8,3,A1,B1
3,9,9,A2,B1
3,10,6,A1,B1
3,11,3,A2,B1
3,12,5,A1,B1
3,13,1,A2,B1
3,14,3,A1,B1
